artist_name,song_title
Fenne Lily,Top to Toe 
Rayland Baxter,Olivia 
Allman Brown,Sweetest Thing 
Joseph,All 
Peter Bradley Adams,My Arms Were Always Around You 
Lydia Luce,Love You True 
Caroline Spence,All the Beds I've Made 
Roo Panes,I'll Move Mountains 
Angus & Julia Stone,Stay With Me 
Lillie Mae,Forever and Then Some 
Christian Lopez,Swim the River 
Ira Wolf,Great Divide 
Molly Tuttle,Save This Heart 
Iron & Wine,Naked As We Came 
Lizzie No,Please Don't Change Your Mind 
Jason Isbell and the 400 Unit,If We Were Vampires 
Julie Byrne,Follow My Voice 
Hozier,In a Week 
Erin Rae,Wild Blue Wind 
Eddie Berman,Joann 
Dawn Landes,Try to Make a Fire Burn Again 
Dan Auerbach,Never in My Wildest Dreams 
Foy Vance,She Burns 
Rachel Baiman,I Could've Been Your Lover Too 
Isobel Anderson,Waiting for You 
Sarah Jarosz,Build Me Up From Bones 
Glen Hansard,Wedding Ring 
Jill Andrews,I'm so in Love with You 
All Our Exes Live in Texas,When the Sun Comes Up 
Liza Anne,"1,000 Years "
Ben Abraham,She 
Molly Parden,Seasons of Love 
Lola Marsh,In Good Times 
Sammy Brue,I Know 
Birdtalker,My Lover 
John Paul White,Hate the Way You Love Me 
Langhorne Slim,Sea Of Love 
Vance Joy,Georgia 
Birdy,Tee Shirt 
James Bay,If You Ever Wanna Be In Love 
Dermot Kennedy,A closeness 
Taylor Swift,Everything Has Changed 
Kelly McFarling,Country 
Kina Grannis,God Only Knows 
Jillian Jacqueline,Reasons 
Hozier,Take Me To Church 
Ed Sheeran,Hearts Don't Break Around Here 
John Mayer,Your Body Is a Wonderland 
Luis Trindade,Old Town 
Ben Howard,Only Love 
Passenger,Let Her Go 
Ivan & Alyosha,Don't Lose Your Love 
Billy Raffoul,Dark Four Door 
Mindy Smith,Who Saved Who 
Holley Maher,That's What Makes This House a Home 
Ruelle,I Get to Love You 
Tom Odell,Magnetised 
Lucius,Two of Us on the Run 
The Sweeplings,Hold Me 
Ed Sheeran,Photograph 
Joy Williams,Till Forever 
Andrew James,I Can't Keep from Loving You 
Haley Reinhart,Can't Help Falling in Love 
James Vincent McMorrow,Wicked Game 
Rosie Carney,Awake Me 
Holley Maher,I Do 
Good Old War,Part of Me 
Scott Helman,Machine 
Tori Harper,After Dark 
The National Parks,Wind & Anchor 
Mumford & Sons,Awake My Soul 
Ed Sheeran,Give Me Love 
King Charles,Find a Way 
Bear's Den,Sophie 
Damien Rice,Lonelily 
Bahamas,Whole Wide World 
Lily & Madeleine,Come to Me 
Roo Panes,Land of the Living 
Ethan Parker,Roll 
Damien Rice,The Blower's Daughter 
The Woodlands,Sudden Love 
Monica Heldal,Tape 03 
Tom Francis,Upon These Stones 
Sufjan Stevens,To Be Alone With You 
Keith Sweat,Nobody 
Brian McKnight,Anytime 
Janet Jackson,I Get Lonely 
Guy,Let's Chill 
Dru Hill,Beauty 
112,Cupid 
Xscape,Softest Place On Earth 
Mint Condition,U Send Me Swingin' 
Aaliyah,At Your Best (You Are Love) 
LSG,All the Times 
Ms. Lauryn Hill,Nothing Even Matters 
Janet Jackson,"Any Time, Any Place "
Shai,If I Ever Fall In Love 
Joe,All The Things (Your Man Won't Do) 
Faith Evans,Soon As I Get Home 
En Vogue,Don't Let Go (Love) 
TLC,Take Our Time 
Levert,Baby I'm Ready 
Blackstreet,Before I Let You Go 
Toni Braxton,How Many Ways 
Total,Kissin' You 
Tony! Toni! Toné!,It Never Rains (In Southern California) 
Prince,Insatiable 
Meshell Ndegeocello,Outside Your Door 
Jodeci,Stay 
Mary J. Blige,I Never Wanna Live Without You 
Boyz II Men,Uhh Ahh 
Silk,Freak Me 
Tevin Campbell,Shhh 
Faith Evans,Come Over 
Pebbles,Love Makes Things Happen 
Brownstone,Grapevyne 
Sade,Cherish the Day 
Prince,Scandalous 
Case,Happily Ever After 
Jagged Edge,I Gotta Be 
Kelly Price,You Complete Me 
Sade,No Ordinary Love 
Zhané,Sending My Love 
Erykah Badu,Other Side Of The Game 
Eric Benét,Let's Stay Together 
Aaron Hall,Don't Be Afraid 
D'Angelo,Cruisin' 
SWV,Use Your Heart 
Tamia,You Put A Move On My Heart 
Silk,Lose Control 
Lokey,I Got A Thang 4 Ya! 
Babyface,When Can I See You 
Ed Sheeran,Tenerife Sea 
Haley Reinhart,Can't Help Falling in Love 
AJR,Location 
Ellie Goulding,How Long Will I Love You 
Coldplay,The Scientist 
Angus & Julia Stone,Stay With Me 
Ed Sheeran,Photograph 
Christina Perri,A Thousand Years 
Alicia Keys,If I Ain't Got You 
Howie Day,Collide 
Adele,Turning Tables 
Cage The Elephant,Whole Wide World 
John Mayer,Free Fallin' 
Ed Sheeran,Kiss Me 
Adele,Make You Feel My Love 
Lauv,Don't Matter 
Lily Allen,Somewhere Only We Know 
Sara Bareilles,Gravity 
Jason Mraz,I Won't Give Up 
Jason Mraz,Lucky 
Ed Sheeran,Thinking Out Loud 
Snow Patrol,Chasing Cars 
Train,Marry Me 
John Legend,Love Me Now 
Jessie Ware,Say You Love Me 
Coldplay,Yellow 
Jason Mraz,I'm Yours 
Timeflies,Stuck With Me 
One Direction,Night Changes 
The Goo Goo Dolls,Iris 
Christina Perri,human 
Charlie Puth,One Call Away 
Ria Mae,Ooh Love 
James Bay,If I Ain’t Got You 
Coldplay,Fix You 
Sam Smith,Stay With Me 
Jack Johnson,Better Together 
Adam Levine,Lost Stars 
Hozier,Cherry Wine 
John Mayer,XO 
Colbie Caillat,Bubbly 
Katy Perry,The One That Got Away 
One Direction,Story of My Life 
Bright Eyes,First Day Of My Life 
Adele,Lovesong 
