artist_name,song_title
Propagandhi,Victory Lap 
Anti-Flag,Racists 
Neck Deep,Don't Wait 
Rise Against,The Violence 
Bad Cop,Womanarchist 
Armstrongs,If There Was Ever a Time 
Pennywise,Fuck Authority 
Descendents,Who We Are 
NOFX,Franco Un
Rancid,Telegraph Avenue 
Propagandhi,Cop Just Out of Frame 
No Use For A Name,Fields of Agony 
Bad Religion,Let Them Eat War 
Anti-Flag,American Attraction 
Good Riddance,Dry Season 
The Bouncing Souls,Letter From Iraq 
The Clash,The Guns of Brixton 
Boysetsfire,Foundations To Burn 
Operation Ivy,Artificial Life 
Against All Authority,War Machine Breakdown 
Minor Threat,Straight Edge 
The Offspring,Nitro (Youth Energy) 
Dead Kennedys,Holiday In Cambodia 
Rancid,Corruption 
Circle Jerks,Question Authority 
Sex Pistols,God Save The Queen 
Rise Against,State Of The Union 
Desaparecidos,The Left is Right 
The Lawrence Arms,Quincentuple Your Money 
Great Collapse,Break in Case of Emergency 
Subhumans,Mickey Mouse Is Dead 
Ramones,Ignorance Is Bliss 
Green Day,American Idiot 
Against Me!,White People For Peace 
Adolescents,Democracy 
Anti-Flag,The Press Corpse 
H2O,Use Your Voice 
NOFX,Oxy Moronic 
Immortal Technique,Point of No Return 
Immortal Technique,The 4th Branch 
Immortal Technique,The Cause of Death 
Lupe Fiasco,Words I Never Said 
Lupe Fiasco,American Terrorist 
Bob Dylan,Blowin' In the Wind 
Bob Dylan,Masters of War 
Bob Dylan,The Times They Are A
Bob Dylan,Ballad of Hollis Brown 
Bob Dylan,With God on Our Side 
Bob Dylan,Only a Pawn in Their Game 
Bob Dylan,The Lonesome Death of Hattie Carroll 
Bob Dylan,Hurricane 
Bob Dylan,Slow Train 
Bob Dylan,Political World 
Bruce Springsteen,Born in the U.S.A. 
Bruce Springsteen,American Skin (41 Shots) 
Lecrae,Gangland 
Alex Faith,Wake Up Music 
Change,White Privilege 
Rob Hustle,Call the Cops 
2Pac,Changes 
Pusha T,Sunshine 
Rogue Wave,Solitary Gun 
N.W.A.,Fuck Tha Police 
Macklemore & Ryan Lewis,White Privilege II 
High Society Collective,Mad About 
High Society Collective,Press On 
Derek Minor,Stranger 
Sho Baraka,Chapter 1: Bethesda 
Sho Baraka,Chapter 8: Madoff 
Sam Cooke,A Change Is Gonna Come 
Rage Against The Machine,Killing In The Name 
Christon Gray,Black Male (Blackmail) 
Michael Jackson,They Don't Care About Us 
Common,Glory (From the Motion Picture Selma) 
Tedashii,This Time Around 
Run The Jewels,Close Your Eyes (And Count to Fuck) [feat. Zack De La Rocha] 
Killer Mike,Reagan 
Michael Kiwanuka,Black Man In A White World 
Reckless Kelly,American Blood 
Rise Against,Blood
P!nk,Dear Mr. President 
Jason Isbell,Dress Blues 
Dar Williams,Empire 
Rise Against,Hero Of War 
Bob Dylan,John Brown 
Brendan James,Hero's Song 
Sheryl Crow,Redemption Day 
Dispatch,The General 
Rise Against,Survivor Guilt 
Flobots Featuring Tim McIlrath of Rise Against,White Flag Warrior 
Bright Eyes,When The President Talks To God 
David Ford,State Of The Union 
Rise Against,The Eco
Rise Against,A Beautiful Indifference 
Rise Against,People Live Here 
Rise Against,Black Masks & Gasoline 
Rise Against,Architects 
Rise Against,Help Is On The Way 
Rise Against,Disparity By Design 
Rise Against,Satellite 
Rise Against,Collapse (Post
Rise Against,Re
Rise Against,From Heads Unworthy 
Rise Against,Prayer Of The Refugee 
Rise Against,Worth Dying For 
Andy Mineo,Vendetta 
Bizzle,Wonder [Bonus] 
Propaganda,Warm Words 
Propaganda,Bored of Education 
Propaganda,Three Cord Bond 
Lecrae,Welcome to America 
Lecrae,Dirty Water 
Matisyahu,One Day 
Crosby,Ohio 
Flobots,Handlebars 
Guns N' Roses,Civil War 
Counting Crows,Big Yellow Taxi 
Lowkey,Terrorist? 
Lowkey,Obama Nation 
Lowkey,Long Live Palestine 
Dead Prez,Police State 
Tragic Hero,Lone Wolf 
Derek Webb,A Savior On Capitol Hill 
Lowkey,Voices of the Voiceless 
Tom Paxton,George W. Told the Nation 
M.I.A.,Borders 
Billie Holiday,Strange Fruit 
Desaparecidos,The Left is Right 
Green Day,99 Revolutions 
System Of A Down,Prison Song 
Lupe Fiasco,Strange Fruition 
John Mayer,Waiting On the World to Change 
Desaparecidos,The Happiest Place On Earth 
Desaparecidos,Anonymous 
Green Day,American Idiot 
Regina Spektor,Ballad Of A Politician 
Regina Spektor,Uh
The Red Jumpsuit Apparatus,Am I The Enemy 
Kendrick Lamar,HiiiPower 
T.I.,New National Anthem 
Derek Minor,Igwt 
David Rovics,Occupation 
Hopsin,Fly 
Lupe Fiasco,Around My Way [Freedom Ain't Free] 
OneWorld,Freedom For Palestine 
Tragic Hero,Not Enough 
Sheryl Crow,Love Is A Good Thing 
Benny,Little Game 
Jadakiss,Why 
Everlast,Stone in My Hand 
Hostyle Gospel,Skittles & Iced Tea 
Eminem,Mosh 
Eminem,White America 
2Pac,Panther Power 
Bob Dylan,Union Sundown 
Brother Ali,Uncle Sam Goddamn 
Brother Ali,Mourning In America 
Lowkey,Soundtrack to the Struggle 
Lowkey,Hand On Your Gun 
Lowkey,We Will Rise 
Lowkey,The Butterfly Effect 
Lowkey,Terrorist? 
Illuminate,Eracism 
Tom Paxton,Lyndon Johnson Told The Nation 
Green Day,21 Guns 
Michael Franti & Spearhead,Light Up Ya Lighter 
Rx Bandits,Overcome (with recapitulation) 
Cornel West,Bushonomics 
Manic Street Preachers,If You Tolerate This Your Children Will Be Next 
U2,Sunday Bloody Sunday 
Creedence Clearwater Revival,Fortunate Son 
Heaven 17,(We Don't Need This) Fascist Groove Thang 
All That Remains,A War You Cannot Win 
4 Non Blondes,Dear Mr. President 
John Fogerty,Deja Vu (All Over Again) 
Kemba,The New Black Theory 
Ian Hunter,Gun Control 
Linkin Park,Hands Held High 
Steve Earle,Jerusalem 
The Clash,Know Your Rights 
Steppenwolf,Monster/Suicide/America 
Switchfoot,Looking For America 
Lupe Fiasco,State Run Radio 
Lupe Fiasco,All Black Everything 
Lupe Fiasco,Unforgivable Youth 
The Game,Don't Shoot 
Great Collapse,Break in Case of Emergency 
Bad Religion,Let Them Eat War 
NOFX,Franco Un
Boysetsfire,Foundations To Burn 
Bhi Bhiman,Up in Arms 
YG,FDT 
YG,Police Get Away Wit Murder 
Derek Minor,Free 
Jasiri X,By Any Means 
Ambassador,Free Palestine 
Maher Zain,Palestine Will Be Free 
The Beatles,Revolution 1 
Rise Against,State Of The Union 
letlive.,"Good Mourning, America "
Jarren Benton,Anarchy 
Rage Against The Machine,Bulls On Parade 
Public Enemy,Fight The Power 
Chevelle,Black Boys On Mopeds 
B-Les,Freedom 
John Lennon,Imagine 
Immortal Technique,The 3rd World 
Willie Nelson,Heartland 
Steve Earle,Mississippi It's Time 
John Rich,Shuttin' Detroit Down 
Green Day,Bang Bang 
Swizz Beatz,Sad News 
Nice As Fuck,Guns 
Blood Orange,Hands Up 
Yung Blu,Letter To Donald Trump 
Richard Thompson,Fergus Laing 
Mistah F.A.B.,Freedom 
Mistah F.A.B.,6 Shots 
Kendrick Lamar,Alright 
Daye Jack,Hands Up 
Usher,Chains by Film The Future 
Elujay,Soul Food 
Plies,We Are Trayvon 
Vince Staples,Hands Up 
Vic Mensa,16 Shots 
Run The Jewels,Early 
YG,FDT 
YG,Blacks & Browns 
Ty Dolla $ign,No Justice 
Sole,Fire the Police 
The Wailers,I Shot The Sheriff 
Bob Marley & The Wailers,"Get Up, Stand Up "
Swet Shop Boys,T5 
Prophets Of Rage,The Party’s Over 
Prophets Of Rage,Killing In The Name 
Fashawn,Mother Amerikkka 
Jonathan Emile,Heaven Help Dem 
Dizzy Wright,I Need Answers 
Dumbfoundead,Harambe 
Until The Ribbon Breaks,Goodnight America 
The Taxpayers,Fuck America 
Young the Giant,Amerika 
T.I.,We Will Not 
Rise Against,The Great Die
Rise Against,Bridges 
Rage Against The Machine,Guerrilla Radio 
The Black Eyed Peas,#WHERESTHELOVE 
The Black Eyed Peas,Where Is The Love? 
Frank Waln,Born on the Rez 
Frank Waln,AbOriginal 
Paris,AWOL 
Dead Prez,Propaganda 
Sage Francis,Makeshift Patriot 
Goldfinger,FTN 
Tom Morello: the Nightwatchman,Stray Bullets 
Tom Morello: the Nightwatchman,Save the Hammer for the Man 
Bruce Springsteen,Death To My Hometown 
Rebel Inc.,Killin' the Future 
Rebel Inc.,Police State 
David Rovics,Israeli Geography 101 
David Rovics,Watch Out for the Cops 
Green Day,Revolution Radio 
Zack De La Rocha,digging for windows 
T.I.,Warzone 
Marvin Gaye,What's Going On 
David Rovics,Halliburton Boardroom Massacre 
Talib Kweli,Which Side Are You On 
Dizzy Wright,They Know Why 
David Rovics,Who Would Jesus Bomb? 
Thurz,Rodney King 
Bob Dylan,The Death of Emmett Till 
Yon,Alton Sterling 
Amara Africa,Michael Brown 
Stephan Smith,Ballad of Abner Louima 
Harold Melvin & The Blue Notes,Wake up Everybody 
David Banner,Black Fist 
Killer Mike,Don't Die 
Prophets Of Rage,Prophets Of Rage 
John Lennon,Gimme Some Truth 
Stone Sour,sillyworld 
Vic Mensa,Go Tell 'Em 
Meek Mill,Black Moses 
Lecrae,On My Own 
Georgia Ku,Bloodline 
Wale,Live Forever 
The Game,Sins Of Our Fathers 
Nas,War 
Bruce Springsteen,The Ghost of Tom Joad 
Death Cab for Cutie,"Million Dollar Loan (30 Days, 30 Songs) "
Jim James,Same Old Lie 
John Lennon,Attica State 
Ryan Harvey,Old Man Trump 
The Coup,5 Million Ways To Kill A C.E.O. 
Aimee Mann,"Can't You Tell? (30 Days, 30 Songs) "
Drive-By Truckers,What It Means 
T.I.,Black Man 
T.I.,40 Acres 
Kenneth Whalum,Might Not Be Ok 
Bhi Bhiman,"With Love from Russia (30 Days, 30 Songs) "
Rage Against The Machine,Down Rodeo 
Sho Baraka,"Maybe Both, 1865 "
Franz Ferdinand,"Demagogue (30 Days, 30 Songs) "
Thao Nguyen,"Before You Vote (30 Days, 30 Songs) "
Moby,"Trump Is on Your Side (30 Days, 30 Songs) "
Lila Downs,The Demagogue 
Lowkey,Long Live Palestine Part 2 
U.S. Elevator,"Old Man Trump (30 Days, 30 Songs) "
Vinnie Paz,Writings on Disobedience and Democracy 
2Pac,Letter To The President 
Radioinactive,"Natural Born Loser (30 Days, 30 Songs) "
Rage Against The Machine,Voice of the Voiceless 
Ani DiFranco,Play God 
Macklemore,Drug Dealer 
Mirah,"No Guns No Guns (30 Days, 30 Songs) "
clipping.,"Fat Fingers (30 Days, 30 Songs) "
Sam Cohen,"Clockwork (30 Days, 30 Songs) "
Wesley Stace,"Mr. Tangerine Man (30 Days, 30 Songs) [Live] "
Loudon Wainwright III,I Had A Dream 
Andrew Bird,Sic of Elephants 
J.B. Lenoir,Alabama Blues 
Newmanov Transmission,The Smaller Deaths 
Willie Dunn,I Pity the Country 
The Cooties,"Trumpy Trump (30 Days, 30 Songs) "
Black The Ripper,Revolution Ting 
Kyle Craft,Before the Wall 
Run The Jewels,Talk to Me 
Tech N9ne,What If It Was Me 
Green Day,Troubled Times 
Hasan Salaam,Jericho 
Ledinsky,DonaldTrumpMakesMeWannaSmokeCrack 
Laura Gibson,"And Where Were You? (30 Days, 30 Songs) "
Tim Heidecker,"Trump's Pilot (30 Days, 30 Songs) "
Joe Purdy,Maybe We'll All Get Along Someday 
Agents of the Fantastic,"DT Blues (30 Days, 30 Songs) "
Common,Black America Again 
Common,Letter To The Free 
Snoop Dogg,Revolution 
YG,One Time Comin' 
Derek Webb,My Enemies Are Men Like Me 
Derek Webb,American Flag Umbrella 
Michael Heart,We Will Not Go Down (Song for Gaza) 
Michael Heart,What About Us (Song for Syria) 
Pussy Riot,Make America Great Again 
