artist_name,song_title
Birdy,Skinny Love 
Aquilo,Who Are You 
Labrinth,Jealous 
Cat Clyde,Mama Said 
Sam Smith,Too Good At Goodbyes 
AURORA,Half the World Away 
RY X,Berlin 
Tom Odell,Heal 
Sia,Breathe Me 
Jessie Ware,Thinking About You 
Ed Sheeran,Photograph 
Kodaline,The One 
Bastille,Oblivion 
Kodaline,High Hopes 
Ed Sheeran,Wake Me Up 
Shawn Mendes,Never Be Alone 
Birdy,Not About Angels 
Sam Smith,I'm Not The Only One 
Ruth B.,Lost Boy 
Aquilo,You There 
Cat Clyde,Chimes in the Night 
Adele,Turning Tables 
James Bay,Let It Go 
Sasha Sloan,Ready Yet 
Ellie Goulding,Your Song 
Haley Reinhart,Can't Help Falling in Love 
Ella Henderson,Yours 
Leona Lewis,Bleeding Love 
Ed Sheeran,I See Fire 
The Vamps,Risk It All 
Adele,Hello 
Plain White T's,Hey There Delilah 
Justin Bieber,Love Yourself 
James Morrison,You Make It Real 
James Morrison,Broken Strings 
AURORA,Half The World Away 
Shawn Mendes,Running Low 
Jess Glynne,Take Me Home 
Leona Lewis,Run 
One Direction,If I Could Fly 
Demi Lovato,Stone Cold 
Years & Years,Eyes Shut 
Johnny Stimson,Holding On 
James Vincent McMorrow,Higher Love 
Gary Jules,Mad World (Feat. Michael Andrews) 
Lukas Graham,7 Years 
Coldplay,Fix You 
James Blunt,You're Beautiful 
gnash,I Hate U I Love U 
Lewis Watson,what about today? 
The Fray,Look After You 
LANY,Someone Else 
Kim Taylor,Build You Up 
Ron Pope,A Drop In The Ocean 
Cam Nacson,"Maybe, Maybe. "
Molly Sandén,Why Am I Crying 
Keywest,XO 
Keywest,This Is Heartbreak 
Stephanie Rainey,Please Don't Go 
Mree,Lift Me Up 
Switchfoot,You 
Sleeping At Last,Turning Page 
Andrew Belle,In My Veins 
John Mayer,Dreaming with a Broken Heart 
Adele,Make You Feel My Love 
Gabrielle Aplin,The Power of Love 
Charlene Soraia,Wherever You Will Go 
Sleeping At Last,Chasing Cars 
Jaymes Young,I'll Be Good 
Calum Scott,Dancing On My Own 
Michael Schulte,You Said You'd Grow Old With Me 
Alessia Cara,River Of Tears 
CLOVES,Don't Forget About Me 
Passenger,Let Her Go 
Tom Odell,Magnetised 
Kodaline,Love Like This 
Vance Joy,Georgia 
Joshua Radin,Tomorrow Is Gonna Be Better 
X Ambassadors,Unsteady 
Birdy,People Help The People 
Daughter,Medicine 
Jorja Smith,So Lonely 
Adele,Someone Like You 
Aquilo,Sorry 
Lia Marie Johnson,DNA 
Gavin James,Nervous 
Coldplay,The Scientist 
Rihanna,Close To You 
Ed Sheeran,Autumn Leaves 
Passenger,Beautiful Birds 
Zara Larsson,I Can't Fall in Love Without You 
Sleeping At Last,Every Little Thing She Does Is Magic 
gnash,fragile 
Imaginary Future,I Knew This Would Be Love 
Noah Guthrie,I Would Die 4 U 
The xx,Angels 
Adele,Hometown Glory (Single Version) 
Willamette Stone,Heart Like Yours 
Ed Sheeran,Supermarket Flowers 
A Great Big World,Say Something 
Dean Lewis,Need You Now 
Oh Wonder,All We Do 
Ed Sheeran,Happier 
Olivia O'Brien,hate u love u 
Sam Smith,Too Good At Goodbyes 
Lorde,Liability 
RY X,Berlin 
Dean Lewis,Lose My Mind 
Birdy,Not About Angels 
Lord Huron,The Night We Met 
Lewis Capaldi,Lost On You 
RAYE,Sober 
Tom Odell,Another Love 
Nina Nesbitt,The Best You Had 
Michael Schulte,You Said You'd Grow Old With Me 
Freya Ridings,Lost Without You 
Linkin Park,One More Light 
The Cinematic Orchestra,To Build A Home 
Haley Reinhart,Can't Help Falling in Love 
James Arthur,Can I Be Him 
Tom Walker,Leave a Light On 
Adele,Make You Feel My Love 
SYML,Where's My Love 
Grace Carter,Silence 
Declan J Donovan,Better 
Aquilo,Sorry 
Sia,Breathe Me 
Kodaline,High Hopes 
Blanche,City Lights 
Richard Walters,Nothing but Adore You 
Emily Warren,Hurt by You 
Skinny Living,Why 
P!nk,Wild Hearts Can't Be Broken 
Ruel,Don't Tell Me 
dodie,6/10 
Dan Owen,Made to Love You 
Dua Lipa,Homesick 
Lewis Capaldi,Fade 
Christina Perri,human 
Bon Iver,Skinny Love 
Katelyn Tarver,You Don't Know 
Tom Speight,One More Night 
Sam Smith,No Peace 
Jasmine Thompson,Old Friends 
James Blunt,Goodbye My Lover 
Stephanie Rainey,Sorry 
Bastille,World Gone Mad 
Sarah Close,Only You 
Sam Smith,Burning 
Scott Quinn,From Afar 
Molly Kate Kestner,Footprints 
Passenger,The Boy Who Cried Wolf 
Dan Owen,Hideaway 
Rhys Lewis,Reason To Hate You 
Maisie Peters,Birthday 
Kodaline,Blood and Bones 
DAY_S,Last Night 
Melis,Holding Hands 
Luke Bryan,You Don't Know Jack 
Jason Aldean,The Truth 
Blake Shelton,She Wouldn't Be Gone 
Blake Shelton,Nobody But Me 
Big & Rich,Lost In This Moment 
Brooks & Dunn,That Ain't No Way To Go 
Eric Church,Sinners Like Me 
Chris Cagle,Miss Me Baby 
Jason Aldean,Why 
Brantley Gilbert,More Than Miles 
Rhett Akins,That Ain't My Truck 
Jason Aldean,Just Passing Through 
