artist_name,song_title
JNYR,Twenty Ten 
Rihanna,Sex With Me 
Wale,Bad 
Ginuwine,Pony 
Trey Songz,Neighbors Know My Name 
Kelly Rowland,Kisses Down Low 
Chris Brown,Wet The Bed 
Chris Brown,Take My Time 
Bobby V.,Put It In 
Gemaine,Freaky 
R. Kelly,Echo 
Chris Brown,Beg For It 
Kehlani,The Way 
Trey Songz,Love Faces 
Chris Brown,101 (Interlude) 
Eric Bellinger,Imagination 
Trey Songz,Mr. Steal Your Girl 
PARTYNEXTDOOR,Wus Good / Curious 
Chris Brown,Back To Sleep 
The Weeknd,Earned It (Fifty Shades Of Grey) 
Jeremih,Birthday Sex 
Chris Brown,Songs On 12 Play 
Bando Jonez,Sex You 
The Weeknd,Often 
The Weeknd,Often 
Trey Songz,Can't Help But Wait 
Cap 1,Tonite 
Trevor Jackson,Rock Wit Me 
Curren$y,Bottom of the Bottle 
Trey Songz,About You 
Sevyn Streeter,It Won't Stop 
Jeremih,All The Time 
Rihanna,Sex With Me 
Twista,Wetter 
Trey Songz,I Invented Sex [feat. Drake] 
Sy Ari Da Kid,TLC 
50 Cent,Best Friend 
Chris Brown,Make Love 
Chris Brown,Who's Gonna (NOBODY) 
DeJ Loaf,Hey There 
Pretty Ricky,Grind With Me 
K-Young,Don't Ever Leave Me 
DeJ Loaf,Me U & Hennessy 
Usher,Rivals 
Chris Brown,Sweet Love 
Trey Songz,Sex Ain't Better Than Love 
Jay Sean,Mars 
SoMo,Back To The Start 
Rich Gang,Tapout 
Avant,Take It There 
Mariah Carey,Touch My Body 
SoMo,Ride 
Baeza,Slip N Slide (Remix) 
SoMo,We Can Make Love 
Chris Brown,Take You Down 
Ty Dolla $ign,Or Nah 
Trey Songz,Slow Motion 
Ciara,Body Party 
Omarion,You Like It 
William Singe,Pony 
Miguel,Pussy is Mine 
Cassie,Me & U 
Pretty Ricky,Your Body 
Miguel,Quickie 
Eve,Let Me Blow Ya Mind 
Chris Brown,Lights Out 
Jamie Foxx,Storm (Forecass) 
Marvin Gaye,Let's Get It On 
Rayven Justice,Between Your Thighs 
Beyoncé,Rocket 
R. Kelly,Bump n' Grind 
Teyana Taylor,Do Not Disturb 
Usher,Climax 
Chris Brown,Girl You Loud 
Jacquees,B.E.D. 
Beyoncé,Crazy In Love 
Rihanna,Skin 
SoMo,Make Up Sex 
August Alsina,Porn Star 
Trey Songz,Jupiter Love 
Chris Brown,No BS 
Marques Houston,Sex Wit You 
Elijah Blake,I Just Wanna... 
Trey Songz,Panty Droppa [Intro] 
Chris Brown,Privacy 
Jeremih,I Like 
Trey Songz,Ready To Make Luv 
Trey Songz,Massage 
Poo Bear,Work for It 
Trey Songz,Cake 
Trey Songz,Don't Play 
Kid Ink,Nasty 
Kelly Rowland,Motivation 
Jacquees,Feel It 
Ciara,Ride 
Trey Songz,The Sheets...Still 
Usher,Trading Places 
Jeremih,Planez 
Drake,Practice 
August Alsina,I Luv This Shit 
Wale,Bad 
SoMo,Control 
Lloyd,Naked 
6LACK,First Fuck 
Jeremih,Paris (Who Taught You) 
The-Dream,Falsetto 
Blackstreet,Deep 
Trey Songz,Playboy 
Rihanna,"Yeah, I Said It "
Chris Brown,Strip 
Casey Veggies,Tied Up 
B. Smyth,Twerkoholic 
Jason Derulo,Naked 
Jacquees,Feel It 
SoMo,We Can Make Love 
Chrishan,Sin City 
Chris Brown,Up To You 
DJ Drama,Wishing 
Trey Songz,All We Do 
Rihanna,Loveeeeeee Song 
Jeremih,Woosah 
J. Valentine,UP! 
Tank,F***in Wit Me 
K CAMP,In My Face 
Beyoncé,Dance for You 
Jhene Aiko,The Worst 
Mila J,Kickin’ Back 
One Chance,Sexin On You 
Pleasure P,Under 
Romeyo Wilson,Angela 
Drake,Come Thru 
Drake,Doing It Wrong 
Alina Baraz,Fantasy 
The Weeknd,High For This 
The Weeknd,Coming Down 
Cassie,Me & U 
The Weeknd,Often 
Frank Ocean,Pink Matter 
Drake,Pound Cake / Paris Morton Music 2 
Jhene Aiko,Stay Ready (What A Life) 
ScHoolboy Q,Studio 
Drake,The Language 
Frank Ocean,Thinkin Bout You 
G-Eazy,Tumblr Girls 
The Weeknd,What You Need 
The Weeknd,Loft Music 
The Weeknd,The Zone 
The Weeknd,The Party & The After Party 
Frank Ocean,Pyramids 
Majid Jordan,A Place Like This 
J. Cole,Rich Niggaz 
Beyoncé,Drunk in Love 
Banks,Bedroom Wall 
The Weeknd,Professional 
The Weeknd,Wicked Games 
J. Cole,Wet Dreamz 
Kiesza,Bad Thing 
The Weeknd,Earned It (Fifty Shades Of Grey) 
SBTRKT,Higher 
Rick Ross,In Vein 
Lil Silva,Right for You 
Doja Cat,So High 
Frank Ocean,Pink Matter 
Frank Ocean,Pyramids 
Majid Jordan,Forever 
Lana Del Rey,Gods & Monsters 
Lana Del Rey,Cruel World 
The Neighbourhood,A Little Death 
Brika,Expectations 
Drake,From Time 
Doja Cat,No Police 
Jack Ü,Where Are Ü Now (with Justin Bieber) 
Jeremih,Planes 
G-Eazy,Let's Get Lost 
Grace,You Don't Own Me 
blackbear,Waste Away 
Ty Dolla $ign,Or Nah 
Preme,DnF 
Big Sean,I Know 
A$AP Rocky,L$D 
Kehlani,The Way 
Banks,This Is What It Feels Like 
Alina Baraz,Can I 
What So Not,Gemini 
Alina Baraz,Maybe 
Alina Baraz,Show Me 
PARTYNEXTDOOR,Her Way 
PARTYNEXTDOOR,Wus Good / Curious 
Alina Baraz,Unfold 
Miguel,Sure Thing 
Kiesza,Bad Thing 
Wiz Khalifa,Promises 
Lana Del Rey,High By The Beach 
Niykee Heaton,Bad Intentions 
Tyga,Stimulated 
Kaskade,Move for Me 
Spooky Black,HotelSixNine 
SOS,She Wants 
Marian Hill,Whisky 
Tep No,Lana Del Dre 
Janine,Hold Me 
BRIDGE,Roll My Weed 
Ricky Hil,Nomads 
The Code,Gravity 
Miguel,Simple Things 
Niykee Heaton,NBK 
Cherub,This Song Is for You 
Wiz Khalifa,Promises 
Marc E. Bassy,Lock It Up 
The Game,100 
NAO,Bad Blood 
ZHU,Automatic 
Trey Songz,Slow Motion 
Steve Lacy,C U Girl 
Elijah Blake,I Just Wanna... 
Frank Ocean,Novacane 
Selena Gomez,Good For You 
Outasight,Anchor Down 
Sivik,U Got (XXYYXX Remix) 
Bryson Tiller,Don't 
K CAMP,Actin Up 
DJ Luke Nasty,Might Be 
Haywyre,Moment 
Xavier Omär,Blind Man 
Rihanna,Sex With Me 
Kwamie Liv,Pleasure This Pain 
Rihanna,Loveeeeeee Song 
Selena Gomez,Good For You 
