song_title,artist_name
CORNFLAKE GIRL,TORI AMOS
THE POWER OF LOVE,CELINE DION
ANYTHING,CULTURE BEAT
GIVE IT AWAY,RED HOT CHILI PEPPERS
SWEET LULLABY,DEEP FOREST
NOW AND FOREVER,RICHARD MARX
THE RED STROKES/AIN'T GOING DOWN,GARTH BROOKS
SAVE OUR LOVE,ETERNAL
SOMETHING IN COMMON,BOBBY BROWN AND WHITNEY HOUSTON
I LOVE MUSIC,ROZALLA
PERPETUAL DAWN {1994},THE ORB
HERE I STAND,BITTY MCLEAN
NOWHERE,THERAPY?
COME IN OUT OF THE RAIN,WENDY MOTEN
LOVER,JOE ROBERTS
CAN'T GET OUT OF BED,THE CHARLATANS
THE MUSIC'S GOT ME,BASS BUMPERS
PINCUSHION,ZZ TOP
IN YOUR ROOM,DEPECHE MODE
BELLS OF NY,SLO-MOSHUN
IMPOSSIBLE,CAPTAIN HOLLYWOOD PROJECT
I'M IN LUV,JOE
ALL THRU THE NITE FT JADE,POV FEATURING JADE
SATURN 5,INSPIRAL CARPETS
RAISE,HYPER GO GO
HEY JEALOUSY,GIN BLOSSOMS
EVERYDAY,PHIL COLLINS
STAY WITH ME BABY,RUBY TURNER
CAN'T TAKE YOUR LOVE,PAULINE HENRY
I'M IN THE MOOD,CE CE PENISTON
STOP LOVING ME STOP LOVING YOU,DARYL HALL
DO YA,INNER CITY
TELL ME I'M NOT DREAMING,TITIYO
BLACK GOLD,SOUL ASYLUM
ACTION,DEF LEPPARD
HYPERACTIVE! {1994},THOMAS DOLBY
I LOVE I HATE,NEIL ARTHUR
NUTHIN' BUT A 'G' THANG/LET ME RIDE,DR DRE
DIS-INFECTED EP,THE THE
SECRET STAR,HOUSE OF ZEKKARIYAS
GETTO JAM,DOMINO
WHY WHY WHY,DEJA VU
WHEN WILL I SEE YOU AGAIN,SHEILA FERGUSON
KATHLEEN (EP),TINDERSTICKS
SATISFY MY LOVE,EXOTERIX
GET OFF YOUR HIGH HORSE,ROLLO GOES CAMPING
RENEGADE SOUNDWAVE,RENEGADE SOUNDWAVE
U,LONI CLARK
BLOW YOUR WHISTLE,DJ DUKE
FACTS OF LIFE,OUI 3
AFTERMATH,TRICKY
GOT TO BE REAL,ERIK
A CUTE SWEET LOVE ADDICTION,JOHNNY GILL
UNITED COLOURS,BEST SHOT
WHOOMP! (THERE IT IS),TAG TEAM
VISIONARY,REDD KROSS
WITHOUT YOU,MARIAH CAREY
THE SIGN,ACE OF BASE
LET THE BEAT CONTROL YOUR BODY,2 UNLIMITED
DON'T GO BREAKING MY HEART,ELTON JOHN AND RUPAUL
MOVE ON BABY,CAPPELLA
STAY TOGETHER,SUEDE
DISARM,SMASHING PUMPKINS
LIKE TO MOVE IT,REEL 2 REAL FEAT MAD STUNTMAN
LINGER,CRANBERRIES
ROCK & ROLL DREAMS COME THROUGH,MEAT LOAF
LOSER,BECK
I WANT YOU,INSPIRAL CARPETS
FOREVER NOW,LEVEL 42
DOWNTOWN,SWV
SULKY GIRL,ELVIS COSTELLO
BEAUTIFUL PEOPLE,BARBARA TUCKER
BECAUSE OF YOU,GABRIELLE
THE WAY YOU WORK IT,E.Y.C
A DEEPER LOVE,ARETHA FRANKLIN
WATERFALL,ATLANTIC OCEAN
JINGO,FKW
RIGHT IN THE NIGHT,JAM & SPOON
SOUL OF MY SOUL,MICHAEL BOLTON
LET'S GET MARRIED,PROCLAIMERS
BOW WOW WOW,FUNKDOOBIEST
NOTHING 'BOUT ME,STING
HOOLIGAN'S HOLIDAY,MOTLEY CRUE
LOCKED OUT,CROWDED HOUSE
CAN'T WAIT TO BE WITH YOU,JAZZY JEFF & FRESH PRINCE
SPOONMAN,SOUNDGARDEN
IF I LOVE YA, THEN I NEED YA
SAIL AWAY,URBAN COOKIE COLLECTIVE
OUT OF MY HEAD,MARRADONNA
UPTIGHT,SHARA NELSON
TWIST & SHOUT,CHAKA DEMUS & PLIERS
NO MAN`S LAND,BILLY JOEL
BLUE BEARD,COCTEAU TWINS
HIGHER GROUND,SASHA
PALE MOVIE,SAINT ETIENNE
YOU MADE ME THE THIEF OF,SINEAD O'CONNOR
SAXY LADY,QUIVVER
WANNA KNOW WHY,SINCLAIR
HEAR ME CALLING,2WO THIRD3
LOVE AND HAPPINESS,RIVER OCEAN
DIRTY DAWG,NKOTB
I SPECIALIZE IN LOVE,SHARON BROWN
SO INTO YOU,MICHAEL WATFORD
WIND BENEATH MY WINGS,BILL TARMEY
PERPETUAL DAWN,ORB
CAFFEINE BOMB,WILDHEARTS
JESSIE,JOSHUA KADISON
NERVOUS BREAKDOWN,CARLEEN ANDERSON
TAKE ME HIGHER,RAF
SPIRITUAL LOVE,URBAN SPECIES
RUSH,FREAKPOWER
REFUSE/RESIST,SEPULTURA
MAKE ME WORK,JONNY L
GOOD TIMES,SOUND FACTORY
