term,love_freq,base_freq,norm_love_freq,norm_base_freq,love_ratio
picture,1,172,0.012658227848101266,0.025398700531600708,0.4983809243450103
memories,3,122,0.0379746835443038,0.018015357353809804,2.107906204606765
ahead,1,130,0.012658227848101266,0.01919669226225635,0.659396299902629
to,75,6250,0.9493670886075949,0.922917897223863,1.0286582278481011
secrets,1,71,0.012658227848101266,0.010484347312463083,1.2073453378498842
you,76,6254,0.9620253164556962,0.9235085646780863,1.0417069784198871
clock,1,74,0.012658227848101266,0.010927347903130538,1.1583989052343482
has,8,556,0.10126582278481013,0.08210277613703484,1.233403150897004
ok,1,180,0.012658227848101266,0.026580035440047254,0.4762306610407876
suitcases,1,3,0.012658227848101266,0.0004430005906674542,28.573839662447256
youve,9,818,0.11392405063291139,0.12079149438865919,0.9431462969267431
be,57,4203,0.7215189873417721,0.6206438275251034,1.1625330911916443
think,19,1571,0.24050632911392406,0.2319846426461902,1.0367338388029876
is,45,4051,0.569620253164557,0.598198464264619,0.9522262045002173
youre,34,2644,0.43037974683544306,0.390431187241583,1.1023190792623374
fall,8,657,0.10126582278481013,0.09701712935617247,1.0437932296784387
darkness,1,117,0.012658227848101266,0.017277023036030716,0.7326625554473655
windows,1,50,0.012658227848101266,0.007383343177790904,1.7144303797468354
wondering,3,92,0.0379746835443038,0.013585351447135264,2.795266923500275
beats,2,92,0.02531645569620253,0.013585351447135264,1.8635112823335167
second,2,211,0.02531645569620253,0.031157708210277614,0.8125262463255144
warm,9,137,0.11392405063291139,0.020230360307147078,5.631340663402014
waiting,8,498,0.10126582278481013,0.0735380980507974,1.3770525138528797
behind,2,396,0.02531645569620253,0.05847607796810396,0.43293696458253417
can,33,3209,0.4177215189873418,0.4738629651506202,0.8815238786482638
gray,2,20,0.02531645569620253,0.0029533372711163615,8.572151898734177
drum,1,46,0.012658227848101266,0.006792675723567632,1.8635112823335167
of,58,4696,0.7341772151898734,0.6934435912581217,1.0587410777823303
far,12,536,0.1518987341772152,0.07914943886591849,1.9191384847912336
flashback,2,4,0.02531645569620253,0.0005906674542232723,42.860759493670884
new,14,783,0.17721518987341772,0.11562315416420556,1.5326963803611555
go,26,2809,0.3291139240506329,0.41479621972829295,0.7934352060060114
lying,3,162,0.0379746835443038,0.023922031896042528,1.5874355368026254
lost,10,625,0.12658227848101267,0.0922917897223863,1.3715443037974684
watching,2,239,0.02531645569620253,0.03529238038984052,0.7173348869233621
stolen,1,26,0.012658227848101266,0.00383933845245127,3.2969814995131452
from,21,2247,0.26582278481012656,0.3318074424099232,0.8011356914704838
my,67,5166,0.8481012658227848,0.7628470171293562,1.111757989189295
nights,4,213,0.05063291139240506,0.03145304193738925,1.6097937837998455
said,13,1250,0.16455696202531644,0.1845835794447726,0.8915037974683543
find,10,1118,0.12658227848101267,0.1650915534554046,0.7667398836077082
tick,1,36,0.012658227848101266,0.005316007088009451,2.381153305203938
ill,33,1984,0.4177215189873418,0.29297105729474304,1.4258115557370357
confusion,1,35,0.012658227848101266,0.005168340224453632,2.4491862567811937
deep,8,396,0.10126582278481013,0.05847607796810396,1.7317478583301367
out,22,2946,0.27848101265822783,0.43502658003544004,0.6401471207472909
too,14,1520,0.17721518987341772,0.22445363260484347,0.7895403064623584
cant,26,2422,0.3291139240506329,0.35764914353219135,0.920214489542067
through,21,1463,0.26582278481012656,0.21603662138216184,1.2304524256556235
caught,1,248,0.012658227848101266,0.03662138216184288,0.3456512862392814
will,25,1833,0.31645569620253167,0.2706733608978145,1.1691423757138815
im,43,4245,0.5443037974683544,0.6268458357944477,0.8683216293181852
hand,10,589,0.12658227848101267,0.08697578263437684,1.4553738367969742
hear,7,910,0.08860759493670886,0.13437684583579446,0.6593962999026289
up,23,3343,0.2911392405063291,0.4936503248670998,0.5897681533678913
then,13,1617,0.16455696202531644,0.23877731836975782,0.6891649640293401
nothing,6,1067,0.0759493670886076,0.1575605434140579,0.4820329090197288
look,12,1367,0.1518987341772152,0.20186060248080331,0.7524932171529636
left,4,764,0.05063291139240506,0.112817483756645,0.4488037643316323
turned,6,255,0.0759493670886076,0.03765505020673361,2.016976917349218
and,73,6228,0.9240506329113924,0.919669226225635,1.0047641114444363
say,24,2371,0.3037974683544304,0.35011813349084464,0.867699896961705
slow,2,319,0.02531645569620253,0.04710572947430597,0.5374389905162493
what,36,3398,0.45569620253164556,0.5017720023626698,0.9081738327087415
after,5,407,0.06329113924050633,0.06010041346721796,1.0530899138494076
circles,1,46,0.012658227848101266,0.006792675723567632,1.8635112823335167
sometimes,4,427,0.05063291139240506,0.06305375073833432,0.8030118874692438
almost,5,141,0.06329113924050633,0.020821027761370348,3.0397701768560914
time,33,2706,0.4177215189873418,0.3995865327820437,1.0453843778944119
me,66,5553,0.8354430379746836,0.8199940933254578,1.0188403121131924
calling,2,216,0.02531645569620253,0.0318960425280567,0.7937177684013127
inside,11,806,0.13924050632911392,0.11901949202598937,1.1698966611175676
the,74,6471,0.9367088607594937,0.9555522740696988,0.9802800811409814
unwinds,1,3,0.012658227848101266,0.0004430005906674542,28.573839662447256
catch,2,265,0.02531645569620253,0.03913171884229179,0.6469548602818247
i,77,6216,0.9746835443037974,0.9178972238629651,1.061865663131486
fades,1,40,0.012658227848101266,0.005906674542232723,2.143037974683544
walking,3,257,0.0379746835443038,0.03795038393384525,1.0006402994631334
if,33,3063,0.4177215189873418,0.4523036030714708,0.9235423201378643
in,63,5453,0.7974683544303798,0.8052274069698759,0.9903641474789165
bed,2,337,0.02531645569620253,0.04976373301831069,0.5087330503699808
greet,1,15,0.012658227848101266,0.0022150029533372713,5.714767932489451
desert,3,39,0.0379746835443038,0.005759007678676905,6.5939629990262905
blue,10,285,0.12658227848101267,0.042085056113408154,3.00777259604708
child,1,160,0.012658227848101266,0.02362669816893089,0.535759493670886
because,8,504,0.10126582278481013,0.0744240992321323,1.3606590315451075
preacher,2,19,0.02531645569620253,0.0028056704075605436,9.023317788141238
together,11,488,0.13924050632911392,0.07206142941523921,1.932247354222868
tells,1,40,0.012658227848101266,0.005906674542232723,2.143037974683544
put,7,1045,0.08860759493670886,0.1543118724158299,0.5742111319726243
beautiful,1,274,0.012658227848101266,0.040460720614294156,0.31285225907788966
but,38,4208,0.4810126582278481,0.6213821618428824,0.7741011695624971
whoa,4,224,0.05063291139240506,0.03307737743650325,1.530741410488246
always,14,1160,0.17721518987341772,0.17129356172474897,1.03457005674378
all,46,4488,0.5822784810126582,0.6627288836385116,0.8786073692998487
have,27,2344,0.34177215189873417,0.34613112817483754,0.9874065753661382
never,31,2461,0.3924050632911392,0.3634081512108683,1.0797915841558694
til,3,429,0.0379746835443038,0.06334908446544596,0.5994511817296627
whatever,8,230,0.10126582278481013,0.03396337861783816,2.981618051733627
naked,2,69,0.02531645569620253,0.010189013585351446,2.4846817097780227
wanted,4,335,0.05063291139240506,0.049468399291199054,1.0235405252219913
happy,10,310,0.12658227848101267,0.0457767277023036,2.765210289914251
maybe,6,580,0.0759493670886076,0.08564678086237448,0.8867743343518114
its,39,3818,0.4936708860759494,0.5637920850561134,0.8756257832651464
loves,6,212,0.0759493670886076,0.03130537507383343,2.426080726056843
lied,1,53,0.012658227848101266,0.007826343768458357,1.6173871507045618
someone,10,556,0.12658227848101267,0.08210277613703484,1.541753938621255
this,33,3445,0.4177215189873418,0.5087123449497932,0.8211350149730853
tellin,1,75,0.012658227848101266,0.011075014766686356,1.1429535864978901
at,12,2260,0.1518987341772152,0.3337271116361488,0.45515850789739
make,29,2363,0.3670886075949367,0.3489367985823981,1.052020334588621
understands,2,22,0.02531645569620253,0.0032486709982279976,7.792865362485616
hold,19,1011,0.24050632911392406,0.14929119905493207,1.6109879928382727
love,63,3124,0.7974683544303798,0.46131128174837566,1.7286990064668797
heaven,6,228,0.0759493670886076,0.03366804489072652,2.25582944703531
on,43,4649,0.5443037974683544,0.6865032486709982,0.7928641248560327
