year,month,rank,song_title,artist_name
1960,1,1,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?,EMILE FORD AND THE CHECKMATES
1960,1,2,WHAT DO YOU WANT?,ADAM FAITH
1960,1,3,SEVEN LITTLE GIRLS SITTING IN THE BACK SEAT,AVONS
1960,1,4,OH CAROL,NEIL SEDAKA
1960,1,5,TRAVELLIN' LIGHT,CLIFF RICHARD AND THE SHADOWS
1960,1,6,RAWHIDE,FRANKIE LAINE
1960,1,7,JINGLE BELL ROCK,MAX BYGRAVES
1960,1,8,SNOW COACH,RUSS CONWAY
1960,1,9,STACCATO'S THEME,ELMER BERNSTEIN
1960,1,10,LITTLE WHITE BULL,TOMMY STEELE
1960,1,11,MORE AND MORE PARTY POPS,RUSS CONWAY
1960,1,12,AMONG MY SOUVENIRS,CONNIE FRANCIS
1960,1,13,SOME KIND-A EARTHQUAKE,DUANE EDDY AND THE REBELS
1960,1,14,BAD BOY,MARTY WILDE
1960,1,15,PIANO PARTY,WINIFRED ATWELL
1960,1,16,LITTLE DONKEY,BEVERLEY SISTERS
1960,1,17,PUT YOUR HEAD ON MY SHOULDER,PAUL ANKA
1960,1,18,HEARTACHES BY THE NUMBER,GUY MITCHELL
1960,1,19,RED RIVER ROCK,JOHNNY AND THE HURRICANES
1960,1,20,REVEILLE ROCK,JOHNNY AND THE HURRICANES
1960,1,21,MACK THE KNIFE,BOBBY DARIN
1960,1,22,TEEN BEAT,SANDY NELSON
1960,1,23,DECK OF CARDS,WINK MARTINDALE
1960,1,24,WAY DOWN YONDER IN NEW ORLEANS,FREDDIE CANNON
1960,1,25,BE MY GUEST,FATS DOMINO
1960,1,26,WE GOT LOVE,ALMA COGAN
1960,1,27,IF YOU WERE THE ONLY BOY IN THE WORLD,STEVIE MARSH
1960,1,28,IN THE MOOD,ERNIE FIELDS AND HIS ORCHESTRA
1960,1,29,STARRY EYED,MICHAEL HOLLIDAY
1960,1,30,LIVING DOLL,CLIFF RICHARD AND THE DRI
1960,2,1,STARRY EYED,MICHAEL HOLLIDAY
1960,2,2,WHY,ANTHONY NEWLEY
1960,2,3,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?,EMILE FORD AND THE CHECKMATES
1960,2,4,VOICE IN THE WILDERNESS,CLIFF RICHARD AND THE SHADOWS
1960,2,5,WAY DOWN YONDER IN NEW ORLEANS,FREDDIE CANNON
1960,2,6,HEARTACHES BY THE NUMBER,GUY MITCHELL
1960,2,7,OH CAROL,NEIL SEDAKA
1960,2,8,WHAT DO YOU WANT?,ADAM FAITH
1960,2,9,STACCATO'S THEME,ELMER BERNSTEIN
1960,2,10,SEVEN LITTLE GIRLS SITTING IN THE BACK SEAT,AVONS
1960,2,11,LITTLE WHITE BULL,TOMMY STEELE
1960,2,12,RAWHIDE,FRANKIE LAINE
1960,2,13,IN THE MOOD,ERNIE FIELDS AND HIS ORCHESTRA
1960,2,14,BE MY GUEST,FATS DOMINO
1960,2,15,EXPRESSO BONGO (EP),CLIFF RICHARD AND THE SHADOWS
1960,2,16,SUMMER SET,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,2,17,HARBOUR LIGHTS,PLATTERS
1960,2,18,POOR ME,ADAM FAITH
1960,2,19,MISTY,JOHNNY MATHIS
1960,2,20,WHY,FRANKIE AVALON
1960,2,21,TRAVELLIN' LIGHT,CLIFF RICHARD AND THE SHADOWS
1960,2,22,DANCE WITH ME,THE DRI
1960,2,23,TOO GOOD,LITTLE TONY
1960,2,24,LA MER (BEYOND THE SEA),BOBBY DARIN
1960,2,25,PRETTY BLUE EYES,CRAIG DOUGLAS
1960,2,26,WHAT MORE DO YOU WANT,FRANKIE VAUGHAN
1960,2,27,THE BIG HURT,MAUREEN EVANS
1960,2,28,EL PASO,MARTY ROBBINS
1960,2,29,AMONG MY SOUVENIRS,CONNIE FRANCIS
1960,2,30,BAD BOY,MARTY WILDE
1960,3,1,WHY,ANTHONY NEWLEY
1960,3,2,POOR ME,ADAM FAITH
1960,3,3,WAY DOWN YONDER IN NEW ORLEANS,FREDDIE CANNON
1960,3,4,VOICE IN THE WILDERNESS,CLIFF RICHARD AND THE SHADOWS
1960,3,5,PRETTY BLUE EYES,CRAIG DOUGLAS
1960,3,6,ON A SLOW BOAT TO CHINA,EMILE FORD AND THE CHECKMATES
1960,3,7,RUNNING BEAR,JOHNNY PRESTON
1960,3,8,LA MER (BEYOND THE SEA),BOBBY DARIN
1960,3,9,STARRY EYED,MICHAEL HOLLIDAY
1960,3,10,SUMMER SET,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,3,11,HARBOUR LIGHTS,PLATTERS
1960,3,12,YOU GOT WHAT IT TAKES,MARV JOHNSON
1960,3,13,BE MINE,LANCE FORTUNE
1960,3,14,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?,EMILE FORD AND THE CHECKMATES
1960,3,15,MISTY,JOHNNY MATHIS
1960,3,16,HEARTACHES BY THE NUMBER,GUY MITCHELL
1960,3,17,BONNIE CAME BACK,DUANE EDDY AND THE REBELS
1960,3,18,LET IT BE ME,THE EVERLY BROTHERS
1960,3,19,BE MY GUEST,FATS DOMINO
1960,3,20,WHAT DO YOU WANT?,ADAM FAITH
1960,3,21,RAWHIDE,FRANKIE LAINE
1960,3,22,LUCKY DEVIL,FRANK IFIELD
1960,3,23,TIME AND THE RIVER,NAT 'KING' COLE
1960,3,24,WHO COULD BE BLUER,JERRY LORDAN
1960,3,25,DELAWARE,PERRY COMO
1960,3,26,EL PASO,MARTY ROBBINS
1960,3,27,OH CAROL,NEIL SEDAKA
1960,3,28,IT'S TIME TO CRY,PAUL ANKA
1960,3,29,EXPRESSO BONGO (EP),CLIFF RICHARD AND THE SHADOWS
1960,3,30,YOU GOT WHAT IT TAKES,JOHNNY KIDD AND THE PIRATES
1960,4,1,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN
1960,4,2,RUNNING BEAR,JOHNNY PRESTON
1960,4,3,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,4,4,DELAWARE,PERRY COMO
1960,4,5,POOR ME,ADAM FAITH
1960,4,6,FALL IN LOVE WITH YOU,CLIFF RICHARD AND THE SHADOWS
1960,4,7,FINGS AIN'T WOT THEY USED T'BE,MAX BYGRAVES
1960,4,8,WHY,ANTHONY NEWLEY
1960,4,9,YOU GOT WHAT IT TAKES,MARV JOHNSON
1960,4,10,ON A SLOW BOAT TO CHINA,EMILE FORD AND THE CHECKMATES
1960,4,11,DO YOU MIND?,ANTHONY NEWLEY
1960,4,12,WILD ONE,BOBBY RYDELL
1960,4,13,BEATNIK FLY,JOHNNY AND THE HURRICANES
1960,4,14,WHAT IN THE WORLD'S COME OVER YOU,JACK SCOTT
1960,4,15,SUMMER SET,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,4,16,BE MINE,LANCE FORTUNE
1960,4,17,COLETTE,BILLY FURY
1960,4,18,HANDY MAN,JIMMY JONES
1960,4,19,PRETTY BLUE EYES,CRAIG DOUGLAS
1960,4,20,WHO COULD BE BLUER,JERRY LORDAN
1960,4,21,VOICE IN THE WILDERNESS,CLIFF RICHARD AND THE SHADOWS
1960,4,22,LOOKING HIGH HIGH HIGH,BRYAN JOHNSON
1960,4,23,WAY DOWN YONDER IN NEW ORLEANS,FREDDIE CANNON
1960,4,24,CLEMENTINE,BOBBY DARIN
1960,4,25,HIT AND MISS,JOHN BARRY SEVEN
1960,4,26,LET IT BE ME,THE EVERLY BROTHERS
1960,4,27,LA MER (BEYOND THE SEA),BOBBY DARIN
1960,4,28,COUNTRY BOY,FATS DOMINO
1960,4,29,MY HEART,GENE VINCENT
1960,4,30,JOHNNY ROCCO,MARTY WILDE
1960,4,31,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?,EMILE FORD AND THE CHECKMATES
1960,4,32,BONNIE CAME BACK,DUANE EDDY AND THE REBELS
1960,4,33,WHAT DO YOU WANT?,ADAM FAITH
1960,4,34,LITTLE WHITE BULL,TOMMY STEELE
1960,4,35,ROYAL EVENT,RUSS CONWAY
1960,4,36,MISTY,JOHNNY MATHIS
1960,4,37,HARBOUR LIGHTS,PLATTERS
1960,4,38,FOOTSTEPS,RONNIE CARROLL
1960,4,39,DARK TOWN STRUTTER'S BALL,JOE BROWN
1960,4,40,VALENTINO,CONNIE FRANCIS
1960,4,41,MIDNITE SPECIAL,PAUL EVANS
1960,4,42,YOU ARE BEAUTIFUL,JOHNNY MATHIS
1960,4,43,RAWHIDE,FRANKIE LAINE
1960,4,44,LUCKY DEVIL,CARL DOBKINS JR
1960,4,45,DECK OF CARDS,WINK MARTINDALE
1960,4,46,WITH THESE HANDS,SHIRLEY BASSEY
1960,4,47,TIME AND THE RIVER,NAT 'KING' COLE
1960,4,48,PUPPY LOVE,PAUL ANKA
1960,4,49,SUMMERTIME,AL MARTINO
1960,4,50,TEARDROP,SANTO AND JOHNNY
1960,5,1,DO YOU MIND?,ANTHONY NEWLEY
1960,5,2,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN
1960,5,3,SOMEONE ELSE'S BABY,ADAM FAITH
1960,5,4,CATHY'S CLOWN,THE EVERLY BROTHERS
1960,5,5,FALL IN LOVE WITH YOU,CLIFF RICHARD AND THE SHADOWS
1960,5,6,HANDY MAN,JIMMY JONES
1960,5,7,STUCK ON YOU,ELVIS PRESLEY
1960,5,8,SWEET NOTHIN'S,BRENDA LEE
1960,5,9,FINGS AIN'T WOT THEY USED T'BE,MAX BYGRAVES
1960,5,10,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,5,11,WILD ONE,BOBBY RYDELL
1960,5,12,STANDING ON THE CORNER,KING BROTHERS
1960,5,13,CLEMENTINE,BOBBY DARIN
1960,5,14,HE'LL HAVE TO GO,JIM REEVES
1960,5,15,FOOTSTEPS,STEVE LAWRENCE
1960,5,16,RUNNING BEAR,JOHNNY PRESTON
1960,5,17,BEATNIK FLY,JOHNNY AND THE HURRICANES
1960,5,18,WHAT IN THE WORLD'S COME OVER YOU,JACK SCOTT
1960,5,19,DELAWARE,PERRY COMO
1960,5,20,HIT AND MISS,JOHN BARRY SEVEN
1960,5,21,SHAZAM!,DUANE EDDY
1960,5,22,POOR ME,ADAM FAITH
1960,5,23,CRADLE OF LOVE,JOHNNY PRESTON
1960,5,24,LOOKING HIGH HIGH HIGH,BRYAN JOHNSON
1960,5,25,COUNTRY BOY,FATS DOMINO
1960,5,26,STAIRWAY TO HEAVEN,NEIL SEDAKA
1960,5,27,YOU GOT WHAT IT TAKES,MARV JOHNSON
1960,5,28,WHY,ANTHONY NEWLEY
1960,5,29,ON A SLOW BOAT TO CHINA,EMILE FORD AND THE CHECKMATES
