term,score
bones,4.308386350491614
beneath,4.134310134310135
warm,4.073955241838453
darling,4.044433827042523
weight,3.893943266036289
mmm,3.6399904443382702
awake,3.421498042187698
sea,3.182330827067669
beside,2.918336565395389
dreaming,2.6768914538698714
closer,2.642044346186358
lay,2.432882502113271
babe,2.382828993666432
arms,2.3332245312443334
share,2.3255494505494507
earth,2.238122779476163
lady,2.178893178893179
across,2.1745397459683176
rather,2.1727761289805083
forever,2.1538022855388124
holding,2.100496277915633
kiss,2.0849753694581277
near,2.0816106969953125
