term,score
chasing,5.13030303030303
bleed,4.9970484061393154
angels,4.809659090909091
mistakes,3.847727272727272
admit,3.772281639928699
miles,3.753880266075388
slip,3.6645021645021645
brought,3.5627104377104377
loved,3.466420966420966
voice,3.4202020202020202
warm,3.37027206370272
hurts,3.233384262796027
memories,3.1538748137108796
thousand,3.0577965081276335
anyone,2.978885630498534
hearts,2.8154101995565415
beautiful,2.8085600530856003
falling,2.775409836065574
youd,2.7565807327001357
walked,2.6907183725365544
lips,2.630924630924631
watching,2.575884366679346
tear,2.4824046920821115
ground,2.4664918414918415
fall,2.4634839246119733
summer,2.4048295454545454
hurt,2.3617763310857938
upon,2.219842657342657
singing,2.1987012987012986
sorry,2.1808980493191017
nights,2.167733674775928
fell,2.1616445352400406
along,2.160127591706539
yet,2.149568308786186
dreams,2.147568710359408
moment,2.122884012539185
stars,2.0987603305785125
standing,2.0869029275808937
meet,2.071853146853147
worth,2.068670576735093
dark,2.063124543017304
burn,2.0075098814229246
friend,2.004024621212121
