year,month,rank,artist,song,romance_score,political_score,sad_score
1960,1,4,neilsedaka,ohcarol,3,8,0
1960,1,12,conniefrancis,amongmysouvenirs,0,17,0
1960,1,17,paulanka,putyourheadonmyshoulder,3,13,3
1960,1,21,bobbydarin,macktheknife,2,34,3
1960,1,25,fatsdomino,bemyguest,2,9,0
1960,2,7,neilsedaka,ohcarol,3,8,0
1960,2,14,fatsdomino,bemyguest,2,9,0
1960,2,17,platters,harbourlights,4,12,4
1960,2,19,johnnymathis,misty,2,27,2
1960,2,28,martyrobbins,elpaso,5,110,7
1960,2,29,conniefrancis,amongmysouvenirs,0,17,0
1960,3,11,platters,harbourlights,4,12,4
1960,3,15,johnnymathis,misty,2,27,2
1960,3,19,fatsdomino,bemyguest,2,9,0
1960,3,25,perrycomo,delaware,0,55,2
1960,3,26,martyrobbins,elpaso,5,110,7
1960,3,27,neilsedaka,ohcarol,3,8,0
1960,3,28,paulanka,itstimetocry,0,21,0
1960,4,4,perrycomo,delaware,0,55,2
1960,4,24,bobbydarin,clementine,0,32,2
1960,4,36,johnnymathis,misty,2,27,2
1960,4,37,platters,harbourlights,4,12,4
1960,4,42,johnnymathis,youarebeautiful,0,11,2
1960,4,46,shirleybassey,withthesehands,6,24,0
1960,4,48,paulanka,puppylove,2,18,2
1960,5,4,everlybrothers,cathysclown,2,19,2
1960,5,7,elvispresley,stuckonyou,2,16,0
1960,5,8,brendalee,sweetnothins,0,13,0
1960,5,13,bobbydarin,clementine,0,32,2
1960,5,19,perrycomo,delaware,0,55,2
1960,5,26,neilsedaka,stairwaytoheaven,2,13,0
1960,5,30,ellafitzgerald,macktheknife,0,32,0
1960,5,42,shirleybassey,withthesehands,6,24,0
1960,5,48,johnnymathis,youarebeautiful,0,11,2
1960,6,1,everlybrothers,cathysclown,2,19,2
1960,6,9,brendalee,sweetnothins,0,13,0
1960,6,12,neilsedaka,stairwaytoheaven,2,13,0
1960,6,17,elvispresley,stuckonyou,2,16,0
1960,6,22,ellafitzgerald,macktheknife,0,32,0
1960,6,24,bobbydarin,clementine,0,32,2
1960,6,32,buddyholly,trueloveways,2,6,0
1960,6,42,perrycomo,delaware,0,55,2
1960,6,45,edithpiaf,milord,0,17,0
1960,6,46,johnnymathis,youarebeautiful,0,11,2
1960,6,48,martyrobbins,bigiron,2,88,0
1960,7,7,everlybrothers,cathysclown,2,19,2
1960,7,17,neilsedaka,stairwaytoheaven,2,13,0
1960,7,21,cliffrichard,pleasedonttease,2,12,0
1960,7,25,brendalee,sweetnothins,0,13,0
1960,7,31,buddyholly,trueloveways,2,6,0
1960,7,47,elvispresley,stuckonyou,2,16,0
1960,7,49,brendalee,imsorry,0,7,0
1960,8,1,cliffrichard,pleasedonttease,2,12,0
1960,8,5,everlybrothers,whenwillibeloved,0,7,2
1960,8,16,brendalee,imsorry,0,7,0
1960,8,19,elvispresley,amessofblues,2,19,0
1960,8,20,everlybrothers,cathysclown,2,19,2
1960,8,28,brendalee,sweetnothins,0,13,0
1960,8,33,samcooke,wonderfulworld,0,20,0
1960,8,42,fatsdomino,walkingtoneworleans,0,14,0
1960,8,47,johnnymathis,starbright,2,8,2
1960,8,48,conwaytwitty,isabluebirdblue,2,16,3
1960,9,2,cliffrichard,pleasedonttease,2,12,0
1960,9,3,elvispresley,amessofblues,2,19,0
1960,9,5,everlybrothers,whenwillibeloved,0,7,2
1960,9,9,shirleybassey,aslongasheneedsme,0,14,0
1960,9,11,conniefrancis,everybodyssomebodysfool,2,11,4
1960,9,12,brendalee,imsorry,0,7,0
1960,9,19,fatsdomino,walkingtoneworleans,0,14,0
1960,9,45,neilsedaka,youmeaneverythingtome,3,8,2
1960,10,3,elvispresley,amessofblues,2,19,0
