year,month,rank,artist,song,romance_score
1960,1,4,neilsedaka,ohcarol,3
1960,1,12,conniefrancis,amongmysouvenirs,4
1960,1,17,paulanka,putyourheadonmyshoulder,3
1960,1,21,bobbydarin,macktheknife,0
1960,1,25,fatsdomino,bemyguest,0
1960,2,7,neilsedaka,ohcarol,3
1960,2,14,fatsdomino,bemyguest,0
1960,2,17,platters,harbourlights,3
1960,2,19,johnnymathis,misty,3
1960,2,28,martyrobbins,elpaso,7
1960,2,29,conniefrancis,amongmysouvenirs,4
1960,3,11,platters,harbourlights,3
1960,3,15,johnnymathis,misty,3
1960,3,19,fatsdomino,bemyguest,0
1960,3,25,perrycomo,delaware,0
1960,3,26,martyrobbins,elpaso,7
1960,3,27,neilsedaka,ohcarol,3
1960,3,28,paulanka,itstimetocry,3
1960,4,4,perrycomo,delaware,0
1960,4,24,bobbydarin,clementine,3
1960,4,36,johnnymathis,misty,3
1960,4,37,platters,harbourlights,3
1960,4,42,johnnymathis,youarebeautiful,3
1960,4,46,shirleybassey,withthesehands,11
1960,4,48,paulanka,puppylove,3
1960,5,4,everlybrothers,cathysclown,3
1960,5,7,elvispresley,stuckonyou,0
1960,5,8,brendalee,sweetnothins,3
1960,5,13,bobbydarin,clementine,3
1960,5,19,perrycomo,delaware,0
1960,5,26,neilsedaka,stairwaytoheaven,6
1960,5,30,ellafitzgerald,macktheknife,0
1960,5,42,shirleybassey,withthesehands,11
1960,5,48,johnnymathis,youarebeautiful,3
1960,6,1,everlybrothers,cathysclown,3
1960,6,9,brendalee,sweetnothins,3
1960,6,12,neilsedaka,stairwaytoheaven,6
1960,6,17,elvispresley,stuckonyou,0
1960,6,22,ellafitzgerald,macktheknife,0
1960,6,24,bobbydarin,clementine,3
1960,6,32,buddyholly,trueloveways,3
1960,6,42,perrycomo,delaware,0
1960,6,45,edithpiaf,milord,0
1960,6,46,johnnymathis,youarebeautiful,3
1960,6,48,martyrobbins,bigiron,3
1960,7,7,everlybrothers,cathysclown,3
1960,7,17,neilsedaka,stairwaytoheaven,6
1960,7,21,cliffrichard,pleasedonttease,0
1960,7,25,brendalee,sweetnothins,3
1960,7,31,buddyholly,trueloveways,3
1960,7,47,elvispresley,stuckonyou,0
1960,7,49,brendalee,imsorry,0
1960,8,1,cliffrichard,pleasedonttease,0
1960,8,5,everlybrothers,whenwillibeloved,4
1960,8,16,brendalee,imsorry,0
1960,8,19,elvispresley,amessofblues,4
1960,8,20,everlybrothers,cathysclown,3
1960,8,28,brendalee,sweetnothins,3
1960,8,33,samcooke,wonderfulworld,0
1960,8,42,fatsdomino,walkingtoneworleans,4
1960,8,47,johnnymathis,starbright,3
1960,8,48,conwaytwitty,isabluebirdblue,8
1960,9,2,cliffrichard,pleasedonttease,0
1960,9,3,elvispresley,amessofblues,4
1960,9,5,everlybrothers,whenwillibeloved,4
1960,9,9,shirleybassey,aslongasheneedsme,7
1960,9,11,conniefrancis,everybodyssomebodysfool,6
1960,9,12,brendalee,imsorry,0
1960,9,19,fatsdomino,walkingtoneworleans,4
1960,9,45,neilsedaka,youmeaneverythingtome,5
1960,10,3,elvispresley,amessofblues,4
1960,10,6,cliffrichard,ninetimesoutoften,0
1960,10,7,conniefrancis,everybodyssomebodysfool,6
1960,10,8,cliffrichard,pleasedonttease,0
1960,10,9,shirleybassey,aslongasheneedsme,7
1960,10,13,everlybrothers,whenwillibeloved,4
1960,10,22,brendalee,imsorry,0
1960,10,25,franksinatra,niceneasy,0
1960,10,32,samcooke,chaingang,0
1960,11,2,shirleybassey,aslongasheneedsme,7
1960,11,7,cliffrichard,ninetimesoutoften,0
1960,11,8,elvispresley,amessofblues,4
1960,11,9,samcooke,chaingang,0
1960,11,15,conniefrancis,everybodyssomebodysfool,6
1960,11,17,johnnymathis,myloveforyou,8
1960,11,18,franksinatra,niceneasy,0
1960,11,29,cliffrichard,pleasedonttease,0
1960,11,31,brendalee,iwanttobewanted,5
1960,11,32,everlybrothers,whenwillibeloved,4
1960,11,49,royorbison,blueangel,8
1960,12,1,elvispresley,itsnowornever,8
1960,12,6,shirleybassey,aslongasheneedsme,7
1960,12,7,conniefrancis,myhearthasamindofitsown,0
1960,12,13,johnnymathis,myloveforyou,8
1960,12,15,royorbison,blueangel,8
1960,12,22,samcooke,chaingang,0
1960,12,23,cliffrichard,iloveyou,0
1960,12,25,edithpiaf,milord,0
1960,12,28,cliffrichard,ninetimesoutoften,0
1960,12,47,raycharles,georgiaonmymind,7
1961,1,1,cliffrichard,iloveyou,0
1961,1,2,elvispresley,itsnowornever,8
1961,1,10,conniefrancis,myhearthasamindofitsown,0
1961,1,17,shirleybassey,aslongasheneedsme,7
1961,1,19,royorbison,blueangel,8
1961,1,21,johnnymathis,myloveforyou,8
1961,1,25,edithpiaf,milord,0
1961,1,29,raycharles,georgiaonmymind,7
1961,2,1,elvispresley,areyoulonesometonight,7
1961,2,6,cliffrichard,iloveyou,0
1961,2,11,elvispresley,itsnowornever,8
1961,2,15,conniefrancis,manytearsago,0
1961,2,18,petulaclark,sailor,0
1961,2,23,royorbison,blueangel,8
1961,2,39,johnnymathis,myloveforyou,8
1961,2,40,conniefrancis,myhearthasamindofitsown,0
1961,2,41,shirleybassey,aslongasheneedsme,7
1961,2,42,brendalee,letsjumpthebroomstick,0
1961,2,47,buddyholly,whattodo,5
1961,2,49,raycharles,georgiaonmymind,7
1961,3,1,petulaclark,sailor,0
1961,3,2,elvispresley,areyoulonesometonight,7
1961,3,10,neilsedaka,calendargirl,3
1961,3,18,conniefrancis,manytearsago,0
1961,3,19,brendalee,letsjumpthebroomstick,0
1961,3,26,cliffrichard,iloveyou,0
1961,3,32,beneking,firsttasteoflove,8
1961,3,34,elvispresley,itsnowornever,8
1961,3,40,buddyholly,whattodo,5
1961,3,45,conwaytwitty,cestsibon,0
1961,3,48,shirleybassey,aslongasheneedsme,7
1961,4,3,cliffrichard,themeforadream,8
1961,4,16,petulaclark,sailor,0
1961,4,17,neilsedaka,calendargirl,3
1961,4,18,elvispresley,areyoulonesometonight,7
1961,4,19,brendalee,letsjumpthebroomstick,0
1961,4,33,cliffrichard,geewhizitsyou,6
1961,4,35,chubbychecker,ponytime,0
1961,4,37,beneking,firsttasteoflove,8
1961,4,48,genepitney,iwannalovemylifeaway,8
1961,5,6,cliffrichard,geewhizitsyou,6
1961,5,11,cliffrichard,themeforadream,8
1961,5,26,genepitney,iwannalovemylifeaway,8
1961,5,33,franksinatra,myblueheaven,6
1961,5,34,petulaclark,sailor,0
1961,5,36,chubbychecker,ponytime,0
1961,5,41,neilsedaka,calendargirl,3
1961,5,42,brendalee,letsjumpthebroomstick,0
1961,5,44,elvispresley,areyoulonesometonight,7
1961,5,48,delshannon,runaway,0
1961,6,1,elvispresley,surrender,13
1961,6,2,delshannon,runaway,0
1961,6,8,shirleybassey,youllneverknow,0
1961,6,15,cliffrichard,geewhizitsyou,6
1961,6,18,neilsedaka,littledevil,0
1961,6,27,royorbison,runningscared,3
1961,6,38,genepitney,iwannalovemylifeaway,8
1961,6,41,cliffrichard,themeforadream,8
1961,6,43,franksinatra,myblueheaven,6
1961,7,1,delshannon,runaway,0
1961,7,2,elvispresley,surrender,13
1961,7,9,royorbison,runningscared,3
1961,7,11,shirleybassey,youllneverknow,0
1961,7,13,cliffrichard,agirllikeyou,8
1961,7,17,neilsedaka,littledevil,0
1961,7,22,conniefrancis,breakinginabrandnewbrokenheart,3
1961,7,34,cliffrichard,geewhizitsyou,6
1961,8,3,delshannon,runaway,0
1961,8,5,cliffrichard,agirllikeyou,8
1961,8,11,royorbison,runningscared,3
1961,8,16,elvispresley,surrender,13
1961,8,19,conniefrancis,breakinginabrandnewbrokenheart,3
1961,8,21,shirleybassey,youllneverknow,0
1961,8,28,brendalee,dumdum,5
1961,8,31,bobbydarin,natureboy,0
1961,8,33,beneking,standbyme,0
1961,8,40,neilsedaka,littledevil,0
1961,8,45,samcooke,cupid,0
1961,9,15,cliffrichard,agirllikeyou,8
1961,9,18,samcooke,cupid,0
1961,9,20,delshannon,runaway,0
1961,9,25,brendalee,dumdum,5
1961,9,33,royorbison,runningscared,3
1961,9,36,elvispresley,surrender,13
1961,9,37,chubbychecker,letstwistagain,0
1961,9,49,shirleybassey,youllneverknow,0
1961,10,9,samcooke,cupid,0
1961,10,10,conniefrancis,together,11
1961,10,13,delshannon,hatsofftolarry,3
1961,10,34,franksinatra,granada,3
1961,11,4,cliffrichard,whenthegirlinyourarmsisthegirlinyourheart,3
1961,11,6,delshannon,hatsofftolarry,3
1961,11,12,conniefrancis,together,11
1961,11,16,bobbydarin,youmusthavebeenabeautifulbaby,10
1961,11,19,raycharles,hittheroadjack,0
1961,11,20,franksinatra,granada,3
1961,11,34,samcooke,cupid,0
1961,11,49,beneking,amor,5
1961,12,8,cliffrichard,whenthegirlinyourarmsisthegirlinyourheart,3
1961,12,12,raycharles,hittheroadjack,0
1961,12,19,bobbydarin,youmusthavebeenabeautifulbaby,10
1961,12,25,petulaclark,myfriendthesea,3
1961,12,29,natkingcole,lettruelovebegin,3
1961,12,34,rickynelson,everlovin,3
1961,12,39,franksinatra,thecoffeesong,0
1961,12,42,brendalee,foolnumberone,0
1961,12,44,delshannon,hatsofftolarry,3
1962,1,9,petulaclark,myfriendthesea,3
1962,1,11,bobbydarin,multiplication,3
1962,1,14,delshannon,solongbaby,3
1962,1,28,cliffrichard,whenthegirlinyourarmsisthegirlinyourheart,3
1962,1,30,conniefrancis,babysfirstchristmas,0
1962,1,39,raycharles,hittheroadjack,0
1962,1,43,natkingcole,lettruelovebegin,3
1962,1,50,chubbychecker,letstwistagain,0
1962,2,1,cliffrichard,theyoungones,0
1962,2,2,chubbychecker,letstwistagain,0
1962,2,7,bobbydarin,multiplication,3
1962,2,23,delshannon,solongbaby,3
1962,2,42,petulaclark,myfriendthesea,3
1962,3,2,cliffrichard,theyoungones,0
1962,3,3,chubbychecker,letstwistagain,0
1962,3,19,bobbydarin,multiplication,3
1962,3,25,shirleybassey,tonight,3
1962,4,4,royorbison,dreambaby,5
1962,4,5,chubbychecker,letstwistagain,0
1962,4,11,cliffrichard,theyoungones,0
1962,4,15,samcooke,twistinthenightaway,4
1962,4,18,delshannon,heylittlegirl,3
1962,4,36,shirleybassey,tonight,3
1962,4,37,genepitney,townwithoutpity,5
1962,4,48,rickynelson,youngworld,3
1962,5,3,royorbison,dreambaby,5
1962,5,4,delshannon,heylittlegirl,3
1962,5,7,samcooke,twistinthenightaway,4
1962,5,8,brendalee,speaktomepretty,5
1962,5,19,chubbychecker,letstwistagain,0
1962,5,22,cliffrichard,theyoungones,0
1962,5,24,rickynelson,youngworld,3
1962,5,28,chubbychecker,slowtwistin,0
1962,5,30,neilsedaka,kingofclowns,8
1962,5,43,patsycline,shesgotyou,0
1962,5,49,conniefrancis,dontbreaktheheartthatlovesyou,5
1962,6,1,elvispresley,goodluckcharm,8
1962,6,14,brendalee,speaktomepretty,5
1962,6,15,delshannon,heylittlegirl,3
1962,6,28,rickynelson,youngworld,3
1962,6,32,samcooke,twistinthenightaway,4
1962,6,36,neilsedaka,kingofclowns,8
1962,6,38,royorbison,dreambaby,5
1962,6,42,perrycomo,caterina,6
1962,6,44,chubbychecker,letstwistagain,0
1962,6,48,cliffrichard,theyoungones,0
1962,7,3,elvispresley,goodluckcharm,8
1962,7,8,raycharles,icantstoplovingyou,6
1962,7,30,andywilliams,strangerontheshore,10
1962,7,43,chubbychecker,letstwistagain,0
1962,7,48,neilsedaka,kingofclowns,8
1962,8,2,raycharles,icantstoplovingyou,6
1962,8,6,elvispresley,goodluckcharm,8
1962,8,27,neilsedaka,breakingupishardtodo,6
1962,8,29,bobbydarin,things,3
1962,8,39,andywilliams,strangerontheshore,10
1962,9,3,bobbydarin,things,3
1962,9,8,neilsedaka,breakingupishardtodo,6
1962,9,9,raycharles,icantstoplovingyou,6
1962,9,10,conniefrancis,vacation,8
1962,9,19,chubbychecker,dancinparty,0
1962,9,21,bobbyvinton,rosesareredmylove,6
1962,9,34,elvispresley,shesnotyou,6
1962,9,38,shirleybassey,whatnowmylove,3
1962,9,44,elvispresley,goodluckcharm,8
1962,9,48,rickynelson,teenageidol,3
1962,10,1,elvispresley,shesnotyou,6
1962,10,2,cliffrichard,itllbeme,6
1962,10,6,bobbydarin,things,3
1962,10,9,neilsedaka,breakingupishardtodo,6
1962,10,12,raycharles,youdontknowme,0
1962,10,14,shirleybassey,whatnowmylove,3
1962,10,21,buddyholly,reminiscing,7
1962,10,24,caroleking,itmightaswellrainuntilseptember,6
1962,10,26,raycharles,icantstoplovingyou,6
1962,10,27,chubbychecker,dancinparty,0
1962,10,33,delshannon,crymyselftosleep,0
1962,10,34,natkingcole,ramblinrose,3
1962,10,42,conniefrancis,vacation,8
1962,10,46,jerryleelewis,sweetlittlesixteen,6
1962,10,49,martyrobbins,devilwoman,6
1962,10,50,chubbychecker,letstwistagain,0
1962,11,6,caroleking,itmightaswellrainuntilseptember,6
1962,11,7,natkingcole,ramblinrose,3
1962,11,8,delshannon,swissmaid,8
1962,11,10,elvispresley,shesnotyou,6
1962,11,11,fourseasons,sherry,0
1962,11,12,martyrobbins,devilwoman,6
1962,11,13,shirleybassey,whatnowmylove,3
1962,11,14,raycharles,youdontknowme,0
1962,11,15,cliffrichard,itllbeme,6
1962,11,26,buddyholly,reminiscing,7
1962,11,28,bobbydarin,ifamananswers,0
1962,11,32,beatles,lovemedo,3
1962,11,34,bobbydarin,things,3
1962,11,43,neilsedaka,breakingupishardtodo,6
1962,11,44,chubbychecker,dancinparty,0
1962,11,48,chubbychecker,limborock,0
1962,12,2,delshannon,swissmaid,8
1962,12,5,martyrobbins,devilwoman,6
