term,score
bodys,9.50610085303963
pussy,9.429702797963534
legs,7.521310565042344
shawty,7.324179441361799
crib,6.5811467444120515
wet,6.503721488595438
babe,5.154691292421261
imma,5.040878357421996
nigga,4.9358600583090375
sex,4.905945754925346
tryna,4.504571315349995
ima,4.420173186545407
body,4.2821664997230044
gon,4.179268370539039
fuck,4.096763848396502
niggas,4.0909831113912745
fuckin,4.033606069155773
dick,3.986656200941915
trip,3.9486880466472307
bout,3.8703021797162678
makin,3.6834776554545057
freak,3.6196307094266276
eat,3.601004822414141
cup,3.5897164060429367
ride,3.472464362629474
fucking,3.373879027198583
shit,3.3352996122165925
bitches,3.2678797627425356
probably,3.241460336799965
slow,3.2183664330040123
lay,3.189324960753532
lovin,3.1755183591918286
promise,3.136808261355277
sexy,3.130057597952073
scream,2.9881963596249306
top,2.9801419219979093
swear,2.932194094044973
lips,2.8687049911539706
girl,2.862798833819242
treat,2.839809896561364
bed,2.812122051024734
somethin,2.7045808538679657
ready,2.6680324639508313
roll,2.6577708006279437
damn,2.6528653543366407
talkin,2.605037252996437
nothin,2.5801086668433606
feelin,2.5752313347699327
bitch,2.540516206482593
ass,2.5128014842300557
smoke,2.4545898668347648
baby,2.4231026304904457
ooh,2.3628052206104115
pick,2.322757674498371
clothes,2.2641559900500177
taste,2.2613631985204408
okay,2.256393169512703
lady,2.223360386625693
hit,2.2207032951267376
talking,2.2154355377228687
pull,2.1863541197878957
drink,2.1770333337028456
loving,2.176442230435481
hair,2.1687869953176073
yours,2.1609735578666434
huh,2.1577530309547703
aint,2.1550466966447597
tight,2.1494874447474843
bet,2.137176520092573
use,2.118394874810746
put,2.1160433551410995
minute,2.0940012368583796
pretty,2.0817913171099343
real,2.047068837279601
off,2.0418126140487027
phone,2.0380325402050223
gettin,2.0249682290498616
tonight,2.014636758493485
mama,2.004410175963061
room,2.002151685623948
